427291	Phylloscopus affinis affinis	黃腹柳鶯
427292	Phylloscopus armandii armandii	棕眉柳鶯
380475	Phylloscopus borealis borealis	極北柳鶯
404633	Phylloscopus borealoides	庫頁島柳鶯
425221	Phylloscopus claudiae	克氏冠紋柳鶯
425258	Phylloscopus collybita tristis	嘰咋柳鶯
380476	Phylloscopus coronatus	冠羽柳鶯
420145	Phylloscopus examinandus	勘察加柳鶯
380477	Phylloscopus fuscatus fuscatus	褐色柳鶯
425222	Phylloscopus goodsoni fokiensis	哈氏冠紋柳鶯
428585	Phylloscopus humei	淡眉柳鶯
404634	Phylloscopus ijimae	飯島柳鶯
380478	Phylloscopus inornatus	黃眉柳鶯
430643	Phylloscopus plumbeitarsus	雙斑綠柳鶯
380479	Phylloscopus proregulus	黃腰柳鶯
419652	Phylloscopus ricketti	黑眉柳鶯
404636	Phylloscopus schwarzi	巨嘴柳鶯
425259	Phylloscopus sibilatrix	林柳鶯
430638	Phylloscopus subaffinis	棕腹柳鶯
380480	Phylloscopus tenellipes	淡腳柳鶯
419651	Phylloscopus trochiloides	暗綠柳鶯
419650	Phylloscopus trochilus	歐亞柳鶯
430644	Phylloscopus xanthodryas	日本柳鶯
380334	Pica pica serica	喜鵲
380494	Picus canus tancolo	綠啄木
404637	Pitta moluccensis	藍翅八色鳥
380436	Pitta nympha	仙八色鶇
419643	Pitta sordida	綠胸八色鳥
380258	Platalea leucorodia leucorodia	白琵鷺
380259	Platalea minor	黑面琵鷺
404638	Plectrophenax nivalis vlasowae	雪鵐
404639	Plegadis falcinellus	彩鹮
419431	Ploceus cucullatus	黑頭棲群織布鳥
404640	Pluvialis dominica	美洲金斑鴴
380147	Pluvialis fulva	金斑鴴
380148	Pluvialis squatarola squatarola	灰斑鴴
419692	Pnoepyga formosana	臺灣鷦眉
380195	Podiceps auritus auritus	角鸊鷉
380196	Podiceps cristatus cristatus	冠鸊鷉
419622	Podiceps grisegena	赤頸鸊鷉
380197	Podiceps nigricollis nigricollis	黑頸鸊鷉
430645	Poecile castaneoventris	赤腹山雀
419691	Pomatorhinus musicus	小彎嘴
404643	Porphyrio porphyrio	紫水雞
380301	Porzana cinerea	白眉秧雞
380302	Porzana fusca phaeopyga	紅胸田雞
404644	Porzana paykullii	斑脇秧雞
404645	Porzana porzana	斑胸秧雞
380303	Porzana pusilla pusilla	小秧雞
425224	Prinia crinigera striata	斑紋鷦鶯
380315	Prinia flaviventris sonitans	灰頭鷦鶯
380316	Prinia inornata flavirostris	褐頭鷦鶯
380435	Prunella collaris fennelli	岩鷚
404647	Prunella montanella	棕眉山岩鷚
404648	Pseudobulweria rostrata rostrata	
430649	Psilopogon nuchalis	五色鳥
417662	Psilopogon pyrolophus	火簇擬啄木鳥
417808	Psittacus erithacus	非洲灰鸚鵡
380204	Pterodroma hypoleuca	白額圓尾鸌
380265	Ptilinopus leclancheri taiwanus	黑頦果鳩
380206	Puffinus carneipes	淡足鸌
380207	Puffinus griseus	灰鸌
380208	Puffinus pacificus	楔尾鸌
380209	Puffinus tenuirostris	短尾鸌
428576	Pycnonotus aurigaster chrysorrhoides	白喉紅臀鵯
